gun_obtain-10000000,     -暫時無法獲取//c請期待後續活動
gun_obtain-10001807,     -2018年7月簽到獎勵
gun_obtain-10001808,     -2018年8月簽到獎勵
gun_obtain-10001809,     -2018年9月簽到獎勵
gun_obtain-10001810,     -2018年10月簽到獎勵
gun_obtain-10001811,     -2018年11月簽到獎勵
gun_obtain-10001812,     -2018年12月簽到獎勵
gun_obtain-10001901,     -2019年1月簽到獎勵
gun_obtain-10001902,     -2019年2月簽到獎勵
gun_obtain-10001903,     -2019年3月簽到獎勵
gun_obtain-10001904,     -2019年4月簽到獎勵
gun_obtain-10001905,     -2019年5月簽到獎勵
gun_obtain-10001906,     -2019年6月簽到獎勵
gun_obtain-10001907,     -2019年7月簽到獎勵
gun_obtain-10001908,     -2019年8月簽到獎勵
gun_obtain-10001909,     -2019年9月簽到獎勵
gun_obtain-10001910,     -2019年10月簽到獎勵
gun_obtain-10001911,     -2019年11月簽到獎勵
gun_obtain-10001912,     -2019年12月簽到獎勵
gun_obtain-10002001,     -2020年1月簽到獎勵
gun_obtain-10002002,     -2020年2月簽到獎勵
gun_obtain-10002003,     -2020年3月簽到獎勵
gun_obtain-10002004,     -2020年4月簽到獎勵
gun_obtain-10002005,     -2020年5月簽到獎勵
gun_obtain-10002006,     -2020年6月簽到獎勵
gun_obtain-10002007,     -2020年7月簽到獎勵
gun_obtain-10002008,     -2020年8月簽到獎勵
gun_obtain-10002009,     -2020年9月簽到獎勵
gun_obtain-10002010,     -2020年10月簽到獎勵
gun_obtain-10002011,     -2020年11月簽到獎勵
gun_obtain-10002012,     -2020年12月簽到獎勵
gun_obtain-10000301,     -作戰綱領【金色月夕】獎勵
gun_obtain-10000302,     -中秋節簽到獎勵
gun_obtain-10000303,     -限時戰役【獵兔行動】通關獎勵
gun_obtain-10000304,     -限時戰役【獵兔行動】中救援獲得
gun_obtain-10000305,     -限時戰役【獵兔行動】中打開魔素概率獲得
gun_obtain-10000306,     -限時商城兌換
gun_obtain-10000307,     -限時戰役【獨法師】中救援獲得
gun_obtain-10000308,     -限時戰役【獨法師】第四關過關獎勵
gun_obtain-10000309,     -限時戰役【獨法師】第六關過關獎勵
gun_obtain-10000310,     -密鑰活動【陣前考核】獎勵
gun_obtain-10000311,     -【未知】
gun_obtain-10000312,     -作戰綱領【狂熱夏夜】獎勵
gun_obtain-10000313,     -密鑰活動【街壘塗鴉】獎勵
gun_obtain-10000403,     -常駐活動【塌縮點】中救援獲得
gun_obtain-10000411,     -常駐活動【有序紊流】中救援獲得
gun_obtain-10000415,     -常駐活動【異構體】中救援獲得
gun_obtain-10000424,     -常駐活動【裂變鏈接】中救援獲得
