career_quest-10000001,戰役任務：首次自律作戰
career_quest-10000204,IOP特別服務：人形支援-緊急行動
career_quest-20000204,緊急行動：完成1次緊急1-3
career_quest-10000205,IOP特別服務：人形支援-緊急行動
career_quest-20000205,緊急行動：完成1次緊急1-4
career_quest-10000206,IOP特別服務：人形支援-緊急行動
career_quest-20000206,緊急行動：完成1次緊急2-2
career_quest-10000207,IOP特別服務：人形支援-緊急行動
career_quest-20000207,緊急行動：完成1次緊急2-3
career_quest-10000208,IOP特別服務：人形支援-緊急行動
career_quest-20000208,緊急行動：完成1次緊急2-4
career_quest-10000209,IOP特別服務：人形支援-普通行動
career_quest-20000209,普通行動：完成1次普通3-1
career_quest-10000210,IOP特別服務：人形支援-普通行動
career_quest-20000210,普通行動：完成1次普通3-2
career_quest-10000211,IOP特別服務：人形支援-普通行動
career_quest-20000211,普通行動：完成1次普通3-3
career_quest-10000212,IOP特別服務：人形支援-普通行動
career_quest-20000212,普通行動：完成1次普通3-4
career_quest-10000213,IOP特別服務：人形支援-普通行動
career_quest-20000213,普通行動：完成1次普通3-5
career_quest-10000214,IOP特別服務：人形支援-普通行動
career_quest-20000214,普通行動：完成1次普通3-6
career_quest-10000215,IOP特別服務：人形支援-緊急行動
career_quest-20000215,緊急行動：完成1次緊急3-2
career_quest-10000216,IOP特別服務：人形支援-緊急行動
career_quest-20000216,緊急行動：完成1次緊急3-3
career_quest-10000217,IOP特別服務：人形支援-緊急行動
career_quest-20000217,緊急行動：完成1次緊急3-4
career_quest-10000218,IOP特別服務：人形支援-普通行動
career_quest-20000218,普通行動：完成1次普通4-1
career_quest-10000219,IOP特別服務：人形支援-普通行動
career_quest-20000219,普通行動：完成1次普通4-2
career_quest-10000220,IOP特別服務：人形支援-普通行動
career_quest-20000220,普通行動：完成1次普通4-3
career_quest-10000221,IOP特別服務：人形支援-普通行動
career_quest-20000221,普通行動：完成1次普通4-4
career_quest-10000222,IOP特別服務：人形支援-普通行動
career_quest-20000222,普通行動：完成1次普通4-5
career_quest-10000223,IOP特別服務：人形支援-普通行動
career_quest-20000223,普通行動：完成1次普通4-6
career_quest-10000224,IOP特別服務：人形支援-緊急行動
career_quest-20000224,緊急行動：完成1次緊急4-2
career_quest-10000225,IOP特別服務：人形支援-緊急行動
career_quest-20000225,緊急行動：完成1次緊急4-3
career_quest-10000226,IOP特別服務：人形支援-緊急行動-最終回
career_quest-20000226,緊急行動：完成1次緊急4-4
career_quest-10000227,IOP特別服務：人形支援-普通行動
career_quest-20000227,普通行動：完成1次普通5-1
career_quest-10000228,IOP特別服務：人形支援-普通行動
career_quest-20000228,普通行動：完成1次普通5-2
career_quest-10000229,IOP特別服務：人形支援-普通行動
career_quest-20000229,普通行動：完成1次普通5-3
career_quest-10000230,IOP特別服務：人形支援-普通行動
career_quest-20000230,普通行動：完成1次普通5-4
career_quest-10000231,IOP特別服務：人形支援-普通行動
career_quest-20000231,普通行動：完成1次普通5-5
career_quest-10000241,IOP特別服務：人形支援-普通行動-最終回
career_quest-20000241,普通行動：完成1次普通5-6
career_quest-10000232,IOP特別服務：裝備支援-夜戰任務
career_quest-20000232,夜戰任務：完成1次夜戰1-2
career_quest-10000233,IOP特別服務：裝備支援-夜戰任務
career_quest-20000233,夜戰任務：完成1次夜戰1-3
career_quest-10000234,IOP特別服務：裝備支援-夜戰任務
career_quest-20000234,夜戰任務：完成1次夜戰1-4
career_quest-10000235,IOP特別服務：裝備支援-夜戰任務
career_quest-20000235,夜戰任務：完成1次夜戰2-2
career_quest-10000236,IOP特別服務：裝備支援-夜戰任務
career_quest-20000236,夜戰任務：完成1次夜戰2-3
career_quest-10000237,IOP特別服務：裝備支援-夜戰任務
career_quest-20000237,夜戰任務：完成1次夜戰2-4
career_quest-10000238,IOP特別服務：裝備支援-夜戰任務
career_quest-20000238,夜戰任務：完成1次夜戰3-2
career_quest-10000239,IOP特別服務：裝備支援-夜戰任務
career_quest-20000239,夜戰任務：完成1次夜戰3-3
career_quest-10000240,IOP特別服務：裝備支援-夜戰任務-最終回
career_quest-20000240,夜戰任務：完成1次夜戰3-4
career_quest-10000242,收歸行動：常規回收
career_quest-20000242,完成3次常規回收
career_quest-10000243,收歸行動：協力回收
career_quest-20000243,完成3次協力回收
career_quest-10000244,融合演習：防衛構思集訓
career_quest-20000244,首次完成防衛構思集訓
career_quest-10000245,融合演習：開發調節操練
career_quest-20000245,首次完成開發調節操練
career_quest-10000246,融合演習：解密算法練習
career_quest-20000246,首次完成解密算法練習
career_quest-10000247,融合勢力：以太開發
career_quest-20000247,首次透過以太開發完成融合勢力單位升星
career_quest-10000248,融合勢力：峰值解析
career_quest-20000248,首次完成融合勢力單位解析提升
career_quest-10000249,融合勢力：戰術晶片
career_quest-20000249,首次裝備融合勢力單位戰術晶片
career_quest-10000250,融合勢力：突擊成長
career_quest-20000250,首次透過突擊成長儲存碟提升融合勢力經驗值
career_quest-10000251,融合勢力：認知灌輸
career_quest-20000251,首次完成融合勢力認知灌輸
career_quest-10000252,融合勢力：技能訓練
career_quest-20000252,首次完成融合勢力技能升級
career_quest-10000253,融合勢力：單位拆解
career_quest-20000253,首次完成融合勢力拆解
career_quest-10000254,演習標靶：1級標靶
career_quest-20000254,首次消滅1級強度的演習標靶，且標靶設置為【主動攻擊】、【非無敵】。
career_quest-10000255,演習標靶：2級標靶
career_quest-20000255,首次消滅2級強度的演習標靶，且標靶設置為【主動攻擊】、【非無敵】。
career_quest-10000256,演習標靶：3級標靶
career_quest-20000256,首次消滅3級強度的演習標靶，且標靶設置為【主動攻擊】、【非無敵】。
career_quest-10000257,演習標靶：4級標靶
career_quest-20000257,首次消滅4級強度的演習標靶，且標靶設置為【主動攻擊】、【非無敵】。
career_quest-10000258,演習標靶：5級標靶
career_quest-20000258,首次消滅5級強度的演習標靶，且標靶設置為【主動攻擊】、【非無敵】。
career_quest-10000259,格里芬往事：彼此交錯的身影
career_quest-20000259,首次完成格里芬往事的往事回溯
career_quest-10000260,格里芬往事：更進一步
career_quest-20000260,首次解鎖格里芬往事的舊夢星石
career_quest-10000261,格里芬往事：她們
career_quest-20000261,首次完成一個格里芬往事所有往事的回溯
career_quest-10000262,友人談：你我之間
career_quest-20000262,首次解鎖友人談
career_quest-10000263,同心技：伴蝶翩飛
career_quest-20000263,首次解鎖同心技
