theater_area-10000411,普通關卡
theater_area-20000438,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000441,普通關卡
theater_area-20000441,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000442,普通關卡
theater_area-20000442,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000443,要塞關卡
theater_area-20000443,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000444,普通關卡
theater_area-20000444,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000445,普通關卡
theater_area-20000445,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000446,要塞關卡
theater_area-20000446,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000447,普通關卡
theater_area-20000447,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000448,要塞關卡
theater_area-20000448,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000511,普通關卡
theater_area-20000511,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000512,普通關卡
theater_area-20000512,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000513,普通關卡
theater_area-20000513,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000514,要塞關卡
theater_area-20000514,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000515,普通關卡
theater_area-20000515,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000516,普通關卡
theater_area-20000516,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000517,普通關卡
theater_area-20000517,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000518,要塞關卡
theater_area-20000518,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000521,普通關卡
theater_area-20000521,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000522,普通關卡
theater_area-20000522,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000523,普通關卡
theater_area-20000523,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000524,要塞關卡
theater_area-20000524,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000525,普通關卡
theater_area-20000525,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000526,普通關卡
theater_area-20000526,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000527,普通關卡
theater_area-20000527,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000528,要塞關卡
theater_area-20000528,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000531,普通關卡
theater_area-20000531,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000532,普通關卡
theater_area-20000532,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000533,要塞關卡
theater_area-20000533,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000534,普通關卡
theater_area-20000534,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000535,普通關卡
theater_area-20000535,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000536,要塞關卡
theater_area-20000536,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000537,普通關卡
theater_area-20000537,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000538,要塞關卡
theater_area-20000538,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000541,普通關卡
theater_area-20000541,攻破了週邊的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000542,普通關卡
theater_area-20000542,攻破了週邊的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000543,要塞關卡
theater_area-20000543,攻破了週邊的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000544,普通關卡
theater_area-20000544,攻破了週邊的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000545,普通關卡
theater_area-20000545,攻破了週邊的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000546,要塞關卡
theater_area-20000546,攻破了週邊的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000547,普通關卡
theater_area-20000547,攻破了週邊的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000548,要塞關卡
theater_area-20000548,攻破了週邊的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000611,普通關卡
theater_area-20000611,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000612,普通關卡
theater_area-20000612,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000613,普通關卡
theater_area-20000613,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000614,要塞關卡
theater_area-20000614,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000615,普通關卡
theater_area-20000615,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000616,普通關卡
theater_area-20000616,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000617,普通關卡
theater_area-20000617,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000618,要塞關卡
theater_area-20000618,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000621,普通關卡
theater_area-20000621,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000622,普通關卡
theater_area-20000622,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000623,普通關卡
theater_area-20000623,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000624,要塞關卡
theater_area-20000624,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000625,普通關卡
theater_area-20000625,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000626,普通關卡
theater_area-20000626,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000627,普通關卡
theater_area-20000627,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000628,要塞關卡
theater_area-20000628,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000631,普通關卡
theater_area-20000631,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000632,普通關卡
theater_area-20000632,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000633,要塞關卡
theater_area-20000633,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000634,普通關卡
theater_area-20000634,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000635,普通關卡
theater_area-20000635,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000636,要塞關卡
theater_area-20000636,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000637,普通關卡
theater_area-20000637,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000638,要塞關卡
theater_area-20000638,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000641,普通關卡
theater_area-20000641,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000642,普通關卡
theater_area-20000642,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000643,要塞關卡
theater_area-20000643,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000644,普通關卡
theater_area-20000644,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000645,普通關卡
theater_area-20000645,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000646,要塞關卡
theater_area-20000646,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000647,普通關卡
theater_area-20000647,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000648,要塞關卡
theater_area-20000648,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000711,普通關卡
theater_area-20000711,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000712,普通關卡
theater_area-20000712,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000713,普通關卡
theater_area-20000713,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000714,要塞關卡
theater_area-20000714,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000715,普通關卡
theater_area-20000715,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000716,普通關卡
theater_area-20000716,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000717,普通關卡
theater_area-20000717,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000718,要塞關卡
theater_area-20000718,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000721,普通關卡
theater_area-20000721,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000722,普通關卡
theater_area-20000722,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000723,普通關卡
theater_area-20000723,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000724,要塞關卡
theater_area-20000724,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000725,普通關卡
theater_area-20000725,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000726,普通關卡
theater_area-20000726,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000727,普通關卡
theater_area-20000727,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000728,要塞關卡
theater_area-20000728,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲迴盪在戰場上空。
theater_area-10000731,普通關卡
theater_area-20000731,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000732,普通關卡
theater_area-20000732,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000733,要塞關卡
theater_area-20000733,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000734,普通關卡
theater_area-20000734,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000735,普通關卡
theater_area-20000735,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000736,要塞關卡
theater_area-20000736,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000737,普通關卡
theater_area-20000737,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000738,要塞關卡
theater_area-20000738,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000741,普通關卡
theater_area-20000741,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000742,普通關卡
theater_area-20000742,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000743,要塞關卡
theater_area-20000743,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000744,普通關卡
theater_area-20000744,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000745,普通關卡
theater_area-20000745,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000746,要塞關卡
theater_area-20000746,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000747,普通關卡
theater_area-20000747,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
theater_area-10000748,要塞關卡
theater_area-20000748,攻破了外圍的堅強防禦只是開始，我們將要深入山谷內部消滅盤據於此的敵軍。堅持到最後一秒的人，方能取得最後的勝利。
